province_code,province_name,city_name,city_code,Latitude,Longitude,city_name_zh,city_name_zh2,province_name_zh,province_name_en,,,,,,,
320000 ,Jiangsu Province,Yancheng,320900,33.3474 ,120.1636 ,盐城,盐城,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Yangzhou,321000,32.3936 ,119.4127 ,扬州,扬州,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Zhenjiang,321100,32.1896 ,119.4250 ,镇江,镇江,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Taizhou,321200,32.4907 ,119.9081 ,泰州,泰州,江苏,Jiangsu Province,,,,,,,
320000 ,Jiangsu Province,Suqian,321300,33.9632 ,118.2752 ,宿迁,宿迁,江苏,Jiangsu Province,,,,,,,
330000 ,Zhejinag Province,Hanghzou,330100,30.2481 ,120.2036 ,杭州,杭州,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Ningbo,330200,29.8683 ,121.5440 ,宁波,宁波,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Wenzhou,330300,27.9994 ,120.6990 ,温州,温州,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Jiaxing,330400,30.7470 ,120.7560 ,嘉兴,嘉兴,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Huzhou,330500,30.8930 ,120.0880 ,湖州,湖州,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Shaoxing,330600,30.0511 ,120.5833 ,绍兴,绍兴,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Jinhua,330700,29.1068 ,119.6490 ,金华,金华,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Quzhou,330800,28.9701 ,118.8595 ,衢州,衢州,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Zhoushan,330900,29.9887 ,122.2049 ,舟山,舟山,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Taizhou,331000,28.6564 ,121.4208 ,台州,台州,浙江,Zhejiang Province,,,,,,,
330000 ,Zhejinag Province,Linshui,331100,28.4604 ,119.9250 ,丽水,丽水,浙江,Zhejiang Province,,,,,,,
340000 ,Anhui Province,Hefei,340100,31.8717 ,117.3306 ,合肥,合肥,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Wuhu,340200,31.3500 ,118.4294 ,芜湖,芜湖,安徽,Anhui Province,,,,,,,
